id,origin,destination,arrival,board,alight,route,board_stop
B2-1,B2,B3,0.5654162348744877,4.961677119734784,,B,B2
B2-2,B2,B3,0.7648787969034232,5.003343786401451,,B,B2
B1-1,B1,B2,2.282356384439883,6.0,,B,B1
B1-2,B1,B2,2.3343546544377296,6.041666666666667,,B,B1
A1-1,A1,A2,1.3407659713624547,7.0,,A,A1
A1-2,A1,A2,4.858623290518427,7.041666666666667,,A,A1
B3-1,B3,B3,0.7708922359754782,9.940339421647145,,B,B3
B3-2,B3,B3,4.948538388826681,9.982006088313812,,B,B3
B3-3,B3,B3,6.0334821399582585,10.023672754980478,,B,B3
B3-4,B3,B3,6.945659361547637,10.065339421647144,,B,B3
B3-5,B3,B3,8.594539950004352,10.10700608831381,,B,B3
B2-3,B2,B3,7.468981678503221,11.634207883896927,,B,B2
B2-4,B2,B3,9.948741114706069,11.675874550563593,,B,B2
A3-1,A3,A3,6.583728467727247,11.919060387019908,,A,A3
A3-2,A3,A3,7.596785581888533,11.960727053686574,,A,A3
A3-3,A3,A3,10.424470915790216,12.00239372035324,,A,A3
A2-1,A2,A3,12.040485723670084,13.554120547906042,,A,A2
B1-3,B1,B2,11.09324834233351,15.345746511149438,,B,B1
B1-4,B1,B2,14.93808836991079,15.387413177816104,,B,B1
B3-6,B3,B3,10.159189916158631,17.833072545660166,,B,B3
B3-7,B3,B3,11.729714970715005,17.874739212326833,,B,B3
B3-8,B3,B3,15.01166567541104,17.9164058789935,,B,B3
A1-3,A1,A3,9.962707700103213,17.922732425881932,,A,A1
B3-9,B3,B3,16.662974129814486,17.95807254566017,,B,B3
A1-4,A1,A2,10.391949210752752,17.9643990925486,,A,A1
B3-10,B3,B3,17.2545751932438,17.999739212326837,,B,B3
A1-5,A1,A3,11.695598405669458,18.006065759215268,,A,A1
A1-6,A1,A3,12.33198658318,18.047732425881936,,A,A1
A1-7,A1,A2,12.46788329676974,18.089399092548604,,A,A1
A1-8,A1,A3,15.140263355768626,18.13106575921527,,A,A1
A1-9,A1,A2,15.433912827204358,18.17273242588194,,A,A1
A3-4,A3,A3,13.469144355089092,20.314848046224785,,A,A3
A3-5,A3,A3,13.805464009485613,20.356514712891453,,A,A3
B2-5,B2,B3,13.103310694372064,21.121607958112353,,B,B2
B2-6,B2,B3,13.726514867630119,21.16327462477902,,B,B2
B1-5,B1,B2,19.06891730194298,22.15082810759497,,B,B1
