id,origin,destination,arrival,board,alight,route,bus
B2-1,B2,B3,0.9611697230498703,3.752360655554262,,B,B-Bus-1
B2-2,B2,B3,1.5399405750169084,3.8023606555542617,,B,B-Bus-1
B2-3,B2,B3,2.896818918801503,3.8523606555542615,,B,B-Bus-1
A2-1,A2,A3,0.2852522130932087,5.280941299411567,,A,A-Bus-1
B1-1,B1,B2,2.2435967139174435,6.0,,B,B-Bus-2
B1-2,B1,B3,4.675593306081525,6.05,,B,B-Bus-2
A1-1,A1,A2,0.051743850475430696,7.5,,A,A-Bus-2
A1-2,A1,A2,4.426366130990951,7.55,,A,A-Bus-2
A1-3,A1,A3,5.321074584414442,7.6,,A,A-Bus-2
B2-4,B2,B3,5.624473340366054,11.450978236340216,,B,B-Bus-2
B2-5,B2,B3,11.226364067894014,11.500978236340217,,B,B-Bus-2
B1-3,B1,B2,8.742012350671287,11.754242557135886,,B,B-Bus-1
B1-4,B1,B3,9.479920756919032,11.804242557135886,,B,B-Bus-1
A3-1,A3,A3,3.953194740213624,11.854169214525232,,A,A-Bus-1
B1-5,B1,B2,10.54753199430523,11.854242557135887,,B,B-Bus-1
A3-2,A3,A3,6.480611602286679,11.904169214525233,,A,A-Bus-1
A3-3,A3,A3,9.886296070503361,11.954169214525233,,A,A-Bus-1
A3-4,A3,A3,11.243442461042696,12.004169214525234,,A,A-Bus-1
A2-2,A2,A3,14.285334304668387,14.41531806172938,,A,A-Bus-2
B3-1,B3,B3,12.84547735854021,15.747205661948941,,B,B-Bus-2
A1-4,A1,A3,7.652920589111231,17.202399522827626,,A,A-Bus-1
A1-5,A1,A3,11.956745664004519,17.252399522827627,,A,A-Bus-1
B2-6,B2,B3,13.463746212396432,17.36506075632227,,B,B-Bus-1
B1-6,B1,B2,14.601497987030017,19.580421622944726,,B,B-Bus-2
B1-7,B1,B2,18.053172089021302,19.630421622944727,,B,B-Bus-2
B1-8,B1,B2,18.514987899897505,19.680421622944728,,B,B-Bus-2
A3-5,A3,A3,20.825429996416695,22.35545391370552,,A,A-Bus-2
A2-3,A2,A3,15.361217125087485,23.949404711983636,,A,A-Bus-1
A2-4,A2,A3,23.66486567950053,23.999404711983637,,A,A-Bus-1
B1-9,B1,B3,20.62446575874064,26.10012707336451,,B,B-Bus-1
B1-10,B1,B3,21.05531257437753,26.150127073364512,,B,B-Bus-1
B1-11,B1,B3,24.373244497112154,26.200127073364513,,B,B-Bus-1
B1-12,B1,B3,25.46827732278702,26.250127073364514,,B,B-Bus-1
B1-13,B1,B2,25.560633353615707,26.300127073364514,,B,B-Bus-1
B1-14,B1,B3,26.001357374015335,26.350127073364515,,B,B-Bus-1
B3-2,B3,B3,25.3230249686219,26.923670499304976,,B,B-Bus-2
A3-6,A3,A3,24.512309240805767,29.41784728658314,,A,A-Bus-1
A3-7,A3,A3,26.671975895544364,29.46784728658314,,A,A-Bus-1
B2-7,B2,B3,25.10473753570902,30.73173513059435,,B,B-Bus-1
B2-8,B2,B3,26.014212120365794,30.78173513059435,,B,B-Bus-1
B2-9,B2,B3,26.461277727559665,30.83173513059435,,B,B-Bus-1
B2-10,B2,B3,28.367434149688364,30.88173513059435,,B,B-Bus-1
B2-11,B2,B3,28.54280681980684,30.93173513059435,,B,B-Bus-1
B2-12,B2,B3,30.0201223401805,30.981735130594352,,B,B-Bus-1
B2-13,B2,B3,30.077420579400147,31.031735130594353,,B,B-Bus-1
B2-14,B2,B3,30.267848995281458,31.081735130594353,,B,B-Bus-1
B1-15,B1,B3,27.39040344027108,32.236579302699454,,B,B-Bus-2
B1-16,B1,B2,27.63024884474522,32.28657930269945,,B,B-Bus-2
B1-17,B1,B3,31.85063982939252,32.33657930269945,,B,B-Bus-2
A2-5,A2,A3,33.75993190175003,35.52983708904697,,A,A-Bus-2
A1-6,A1,A2,33.05484845830688,36.07229494014622,,A,A-Bus-1
A1-7,A1,A2,35.33405015214685,36.12229494014622,,A,A-Bus-1
B2-15,B2,B3,32.87590180216735,36.87605455841287,,B,B-Bus-2
B2-16,B2,B3,35.11315817824595,36.926054558412865,,B,B-Bus-2
B1-18,B1,B2,35.550756771367475,41.54935805997929,,B,B-Bus-1
B1-19,B1,B3,36.898457450216526,41.59935805997929,,B,B-Bus-1
B1-20,B1,B3,39.43000888950358,41.649358059979285,,B,B-Bus-1
A3-8,A3,A3,32.48760256538842,42.40983402903814,,A,A-Bus-2
A3-9,A3,A3,38.656891599156815,42.459834029038134,,A,A-Bus-2
A3-10,A3,A3,41.0434270480132,42.50983402903813,,A,A-Bus-2
B3-3,B3,B3,39.92922033864947,43.218045298081435,,B,B-Bus-2
B3-4,B3,B3,40.61442707875587,43.26804529808143,,B,B-Bus-2
B3-5,B3,B3,42.92686860395373,43.31804529808143,,B,B-Bus-2
A2-6,A2,A3,39.824247478702574,43.71954297849581,,A,A-Bus-1
A2-7,A2,A3,41.179534208811006,43.76954297849581,,A,A-Bus-1
B2-17,B2,B3,39.10825161572986,45.86843031736933,,B,B-Bus-1
B2-18,B2,B3,40.55424928133333,45.91843031736933,,B,B-Bus-1
B2-19,B2,B3,42.98720215926942,45.968430317369325,,B,B-Bus-1
B2-20,B2,B3,44.556195155465886,46.01843031736932,,B,B-Bus-1
B3-6,B3,B3,46.647251850277144,48.29762700021775,,B,B-Bus-1
B3-7,B3,B3,46.83286729681541,48.34762700021775,,B,B-Bus-1
A1-8,A1,A3,37.17370679731969,49.237495744660464,,A,A-Bus-2
A1-9,A1,A3,38.10387595410547,49.28749574466046,,A,A-Bus-2
A1-10,A1,A3,39.42049283615218,49.33749574466046,,A,A-Bus-2
A1-11,A1,A2,43.88231450722116,49.387495744660455,,A,A-Bus-2
A1-12,A1,A3,45.59490143040057,49.43749574466045,,A,A-Bus-2
B1-21,B1,B2,42.07866158554423,49.64492639574088,,B,B-Bus-2
B1-22,B1,B3,46.98523666204158,49.69492639574088,,B,B-Bus-2
B1-23,B1,B2,48.45700336115816,49.744926395740876,,B,B-Bus-2
A3-11,A3,A3,42.771144051137064,49.760893245812,,A,A-Bus-1
A3-12,A3,A3,43.20269676930275,49.810893245812,,A,A-Bus-1
A3-13,A3,A3,49.36318153501299,49.860893245811994,,A,A-Bus-1
B1-24,B1,B3,50.04036385254905,52.69595824663033,,B,B-Bus-1
B1-25,B1,B3,50.47103273787994,52.74595824663033,,B,B-Bus-1
B2-21,B2,B3,49.46285416131952,54.88545570708218,,B,B-Bus-2
B2-22,B2,B3,49.509650190305784,54.93545570708218,,B,B-Bus-2
B2-23,B2,B3,50.21159807864371,54.985455707082174,,B,B-Bus-2
B2-24,B2,B3,51.884123103517354,55.03545570708217,,B,B-Bus-2
B2-25,B2,B3,53.20207004765682,55.08545570708217,,B,B-Bus-2
A1-13,A1,A2,51.34459528920277,56.26195079982728,,A,A-Bus-1
A1-14,A1,A3,53.12591932076471,56.31195079982728,,A,A-Bus-1
A1-15,A1,A2,53.97083714159266,56.36195079982728,,A,A-Bus-1
A2-8,A2,A3,50.39867861921546,56.666709514748234,,A,A-Bus-2
A2-9,A2,A3,51.4125187401998,56.71670951474823,,A,A-Bus-2
A2-10,A2,A3,51.595660844235326,56.76670951474823,,A,A-Bus-2
A2-11,A2,A3,55.69151174514393,56.816709514748226,,A,A-Bus-2
B3-8,B3,B3,52.815640058527386,59.47618354788662,,B,B-Bus-2
B3-9,B3,B3,54.77553965181031,59.52618354788662,,B,B-Bus-2
B3-10,B3,B3,60.86424294887425,61.75752604744452,,B,B-Bus-1
B1-26,B1,B2,54.136735729375914,62.884229856783016,,B,B-Bus-2
B1-27,B1,B2,59.72239729169187,62.93422985678301,,B,B-Bus-2
A3-14,A3,A3,52.62153283459783,62.98232670022362,,A,A-Bus-2
A3-15,A3,A3,54.56662296217675,63.032326700223614,,A,A-Bus-2
A3-16,A3,A3,54.67211040796916,63.08232670022361,,A,A-Bus-2
A3-17,A3,A3,58.28507020298271,63.13232670022361,,A,A-Bus-2
A3-18,A3,A3,62.40862317001589,63.182326700223605,,A,A-Bus-2
B1-28,B1,B2,63.08915913514592,67.73875328267246,,B,B-Bus-1
A3-19,A3,A3,66.82354715630304,67.75931239318355,,A,A-Bus-1
B1-29,B1,B2,65.87964451213374,67.78875328267246,,B,B-Bus-1
A1-16,A1,A2,57.72376221743543,69.25774118085384,,A,A-Bus-2
A1-17,A1,A2,63.28171953961202,69.30774118085384,,A,A-Bus-2
B2-26,B2,B3,60.54610485209571,69.93177991614185,,B,B-Bus-2
B2-27,B2,B3,63.449160487052744,69.98177991614185,,B,B-Bus-2
B2-28,B2,B3,65.10534435502592,70.03177991614184,,B,B-Bus-2
B2-29,B2,B3,66.27332077786681,70.08177991614184,,B,B-Bus-2
B2-30,B2,B3,67.2112648572175,70.13177991614184,,B,B-Bus-2
B2-31,B2,B3,68.70345983024255,70.18177991614183,,B,B-Bus-2
B2-32,B2,B3,71.52055345233438,73.61106994955813,,B,B-Bus-1
B2-33,B2,B3,72.44423638484272,73.66106994955813,,B,B-Bus-1
A1-18,A1,A2,72.50599265820581,73.79305360221213,,A,A-Bus-1
A2-12,A2,A3,62.798798345872214,74.89501702044798,,A,A-Bus-2
A2-13,A2,A3,66.99495294710199,74.94501702044798,,A,A-Bus-2
A2-14,A2,A3,67.12857454189103,74.99501702044797,,A,A-Bus-2
B3-11,B3,B3,61.829019992302094,76.16947819398489,,B,B-Bus-2
B3-12,B3,B3,62.15025516036476,76.21947819398488,,B,B-Bus-2
B3-13,B3,B3,62.70388516762371,76.26947819398488,,B,B-Bus-2
B3-14,B3,B3,65.08732742381672,76.31947819398488,,B,B-Bus-2
B3-15,B3,B3,67.34104476307652,76.36947819398488,,B,B-Bus-2
B3-16,B3,B3,68.95376030571612,76.41947819398487,,B,B-Bus-2
B3-17,B3,B3,70.92167296344769,76.46947819398487,,B,B-Bus-2
A3-20,A3,A3,74.2154332169452,79.56334696360825,,A,A-Bus-2
A3-21,A3,A3,76.68156677524512,79.61334696360825,,A,A-Bus-2
A3-22,A3,A3,77.32025378229076,79.66334696360825,,A,A-Bus-2
A2-15,A2,A3,75.10084943248827,79.87669952211188,,A,A-Bus-1
B1-30,B1,B2,68.86860957742896,82.86546642809112,,B,B-Bus-2
B1-31,B1,B2,74.65686534537976,82.91546642809112,,B,B-Bus-2
B1-32,B1,B3,77.13799328869106,82.96546642809112,,B,B-Bus-2
B1-33,B1,B2,79.05088814290929,83.01546642809112,,B,B-Bus-2
B1-34,B1,B3,79.15149980152006,83.06546642809111,,B,B-Bus-2
B1-35,B1,B2,80.49353793779318,83.11546642809111,,B,B-Bus-2
B1-36,B1,B2,81.28298294766017,83.16546642809111,,B,B-Bus-2
A1-19,A1,A2,75.68835029558971,84.78407860811114,,A,A-Bus-2
A1-20,A1,A2,79.01085780771844,84.83407860811114,,A,A-Bus-2
A1-21,A1,A3,80.49985823095884,84.88407860811114,,A,A-Bus-2
A1-22,A1,A3,82.24813370213657,84.93407860811114,,A,A-Bus-2
A3-23,A3,A3,81.50639992000058,87.35084622096844,,A,A-Bus-1
B2-34,B2,B3,74.20562842832626,87.89844627289838,,B,B-Bus-2
