Time,Stop,Queue Length
0,A1,0
1,A1,1
2,A1,1
3,A1,1
4,A1,1
5,A1,2
6,A1,3
7,A1,3
8,A1,1
9,A1,1
10,A1,1
11,A1,1
12,A1,2
13,A1,2
14,A1,2
15,A1,2
16,A1,2
17,A1,2
18,A1,0
19,A1,0
20,A1,0
21,A1,0
22,A1,0
23,A1,0
24,A1,0
25,A1,0
26,A1,0
27,A1,0
28,A1,0
29,A1,0
30,A1,0
31,A1,0
32,A1,0
33,A1,0
34,A1,1
35,A1,1
36,A1,2
37,A1,0
38,A1,1
39,A1,2
40,A1,3
41,A1,3
42,A1,3
43,A1,3
44,A1,4
45,A1,4
46,A1,5
47,A1,5
48,A1,5
49,A1,5
50,A1,0
51,A1,0
52,A1,1
53,A1,1
54,A1,3
55,A1,3
56,A1,3
57,A1,0
58,A1,1
59,A1,1
60,A1,1
61,A1,1
62,A1,1
63,A1,1
64,A1,2
65,A1,2
66,A1,2
67,A1,2
68,A1,2
69,A1,2
70,A1,0
71,A1,0
72,A1,0
73,A1,1
74,A1,0
75,A1,0
76,A1,1
77,A1,1
78,A1,1
79,A1,1
80,A1,2
81,A1,3
82,A1,3
83,A1,4
84,A1,4
85,A1,0
86,A1,0
87,A1,0
88,A1,0
89,A1,0
90,A1,1
91,A1,2
92,A1,2
93,A1,0
94,A1,0
95,A1,1
96,A1,2
97,A1,2
98,A1,4
99,A1,4
100,A1,4
101,A1,4
102,A1,4
103,A1,4
104,A1,4
105,A1,4
106,A1,0
107,A1,1
108,A1,1
109,A1,0
110,A1,0
111,A1,0
112,A1,1
113,A1,2
114,A1,3
115,A1,5
116,A1,5
117,A1,5
118,A1,6
119,A1,6
120,A1,8
121,A1,8
122,A1,9
123,A1,8
124,A1,0
125,A1,0
126,A1,0
127,A1,0
128,A1,0
129,A1,0
130,A1,0
131,A1,0
132,A1,0
133,A1,0
134,A1,1
135,A1,1
136,A1,1
137,A1,3
138,A1,4
139,A1,4
140,A1,4
141,A1,4
142,A1,4
143,A1,0
144,A1,2
145,A1,0
146,A1,0
147,A1,1
148,A1,1
149,A1,1
150,A1,2
151,A1,3
152,A1,3
153,A1,3
154,A1,3
155,A1,3
156,A1,3
157,A1,3
158,A1,2
159,A1,0
160,A1,0
161,A1,1
162,A1,1
163,A1,1
164,A1,0
165,A1,0
166,A1,0
167,A1,0
168,A1,0
169,A1,1
170,A1,2
171,A1,2
172,A1,3
173,A1,3
174,A1,3
175,A1,3
176,A1,0
177,A1,1
178,A1,1
179,A1,1
180,A1,2
181,A1,2
182,A1,3
183,A1,0
184,A1,0
185,A1,0
186,A1,0
187,A1,0
188,A1,0
189,A1,0
190,A1,0
191,A1,2
192,A1,2
193,A1,0
194,A1,1
195,A1,1
196,A1,1
197,A1,2
198,A1,3
199,A1,0
200,A1,0
201,A1,1
202,A1,2
203,A1,2
204,A1,3
205,A1,3
206,A1,5
207,A1,5
208,A1,5
209,A1,6
210,A1,6
211,A1,6
212,A1,0
213,A1,0
214,A1,1
215,A1,0
216,A1,1
217,A1,1
218,A1,1
219,A1,2
220,A1,2
221,A1,3
222,A1,3
223,A1,3
224,A1,3
225,A1,3
226,A1,4
227,A1,5
228,A1,5
229,A1,5
230,A1,6
231,A1,7
232,A1,0
233,A1,1
234,A1,2
235,A1,2
236,A1,3
237,A1,4
238,A1,4
239,A1,6
240,A1,6
241,A1,6
242,A1,6
243,A1,6
244,A1,6
245,A1,6
246,A1,7
247,A1,7
248,A1,8
249,A1,8
250,A1,9
251,A1,2
252,A1,0
253,A1,0
254,A1,0
255,A1,1
256,A1,2
257,A1,4
258,A1,4
259,A1,5
260,A1,5
261,A1,5
262,A1,6
263,A1,6
264,A1,6
265,A1,7
266,A1,7
267,A1,9
268,A1,4
269,A1,0
270,A1,0
271,A1,0
272,A1,0
273,A1,0
274,A1,0
275,A1,0
276,A1,0
277,A1,0
278,A1,0
279,A1,0
280,A1,1
281,A1,1
282,A1,1
283,A1,1
284,A1,2
285,A1,2
286,A1,3
287,A1,0
288,A1,0
289,A1,0
290,A1,2
291,A1,2
292,A1,2
293,A1,3
294,A1,3
295,A1,3
296,A1,3
297,A1,3
298,A1,3
299,A1,3
300,A1,3
301,A1,3
302,A1,0
303,A1,0
304,A1,0
305,A1,0
306,A1,2
307,A1,2
308,A1,2
309,A1,2
310,A1,3
311,A1,0
312,A1,0
313,A1,0
314,A1,0
315,A1,0
316,A1,1
317,A1,1
318,A1,1
319,A1,1
320,A1,0
321,A1,2
322,A1,2
323,A1,3
324,A1,4
325,A1,4
326,A1,4
327,A1,4
328,A1,5
329,A1,0
330,A1,1
331,A1,3
332,A1,3
333,A1,4
334,A1,4
335,A1,4
336,A1,4
337,A1,4
338,A1,1
339,A1,2
340,A1,2
341,A1,2
342,A1,2
343,A1,2
344,A1,3
345,A1,3
346,A1,3
347,A1,3
348,A1,3
349,A1,4
350,A1,1
351,A1,1
352,A1,1
353,A1,1
354,A1,2
355,A1,0
356,A1,1
357,A1,1
358,A1,1
359,A1,1
360,A1,2
361,A1,2
362,A1,2
